id,code,text,if_code,Non-FQN,FQN,label
11,"int age=calculateDifference(agingDate, today);
calculateDifference
agingDate
today
Date
public static int calculateDifference(Date a, Date b)
{
int tempDifference = 0;
int difference = 0;
Calendar earlier = Calendar.getInstance();
Calendar later = Calendar.getInstance();
if (a.compareTo(b) < 0)
{
earlier.setTime(a);
later.setTime(b);
}
else
{
earlier.setTime(b);
later.setTime(a);
}
while (earlier.get(Calendar.YEAR) != later.get(Calendar.YEAR))
{
tempDifference = 365 * (later.get(Calendar.YEAR) - earlier.get(Calendar.YEAR));
difference += tempDifference;
earlier.add(Calendar.DAY_OF_YEAR, tempDifference);
}
if (earlier.get(Calendar.DAY_OF_YEAR) != later.get(Calendar.DAY_OF_YEAR))
{
tempDifference = later.get(Calendar.DAY_OF_YEAR) - earlier.get(Calendar.DAY_OF_YEAR);
difference += tempDifference;
earlier.add(Calendar.DAY_OF_YEAR, tempDifference);
}
return difference;
}
11/30/2014 23:59
12/01/2014 00:01
private int getDayDifference(long past, long current) {
DateTime currentDate = new DateTime(current);
DateTime pastDate = new DateTime(past);
return currentDate.getDayOfYear() - pastDate.getDayOfYear();
}
1
0","Difference in days between two dates in Java? I need to find the number of days between two dates: one is from a report and one is the current date. My snippet: Here is a private method, and are objects, just for your clarification. I've followed two articles from a Java forum, Thread 1 / Thread 2. It works fine in a standalone program although when I include this into my logic to read from the report I get an unusual difference in values. Why is it happening and how can I fix it? EDIT : I'm getting a greater number of days compared to the actual amount of Days. Note : Unfortunately, none of the answers helped me solve the problem. I've accomplished this problem with the help of Joda-time library. If you're looking for a solution that returns proper number or days between e.g. and here's solution using Joda Time. This implementation will return as a difference in days. Most of the solutions posted here calculate difference in milliseconds between two dates. It means that would be returned because there's only 2 minutes difference between these two dates.",1,getDayOfYear(),DateTime.getDayOfYear(),0
12,"int age=calculateDifference(agingDate, today);
calculateDifference
agingDate
today
Date
public static int calculateDifference(Date a, Date b)
{
int tempDifference = 0;
int difference = 0;
Calendar earlier = Calendar.getInstance();
Calendar later = Calendar.getInstance();
if (a.compareTo(b) < 0)
{
earlier.setTime(a);
later.setTime(b);
}
else
{
earlier.setTime(b);
later.setTime(a);
}
while (earlier.get(Calendar.YEAR) != later.get(Calendar.YEAR))
{
tempDifference = 365 * (later.get(Calendar.YEAR) - earlier.get(Calendar.YEAR));
difference += tempDifference;
earlier.add(Calendar.DAY_OF_YEAR, tempDifference);
}
if (earlier.get(Calendar.DAY_OF_YEAR) != later.get(Calendar.DAY_OF_YEAR))
{
tempDifference = later.get(Calendar.DAY_OF_YEAR) - earlier.get(Calendar.DAY_OF_YEAR);
difference += tempDifference;
earlier.add(Calendar.DAY_OF_YEAR, tempDifference);
}
return difference;
}
public class Main {
public static void main(String[] args) {
SimpleDateFormat format = new SimpleDateFormat(""dd-MM-yyyy"");
Date date = null;
try {
date = format.parse(""12-07-2016"");
} catch (ParseException e) {
e.printStackTrace();
}
//Try with Joda - prints 21742
System.out.println(""This is correct: "" + getDaysBetweenDatesWithJodaFromYear1957(date));
//Try with Java util - prints 21741
System.out.println(""This is not correct: "" + getDaysBetweenDatesWithJavaUtilFromYear1957(date)); 
}
private static int getDaysBetweenDatesWithJodaFromYear1957(Date date) {
DateTime jodaDateTime = new DateTime(date);
DateTimeFormatter formatter = DateTimeFormat.forPattern(""dd-MM-yyyy"");
DateTime y1957 = formatter.parseDateTime(""01-01-1957"");
return Days.daysBetween(y1957 , jodaDateTime).getDays();
}
private static long getDaysBetweenDatesWithJavaUtilFromYear1957(Date date) {
SimpleDateFormat format = new SimpleDateFormat(""dd-MM-yyyy"");
Date y1957 = null;
try {
y1957 = format.parse(""01-01-1957"");
} catch (ParseException e) {
e.printStackTrace();
}
return TimeUnit.DAYS.convert(date.getTime() - y1957.getTime(), TimeUnit.MILLISECONDS);
}","Difference in days between two dates in Java? I need to find the number of days between two dates: one is from a report and one is the current date. My snippet: Here is a private method, and are objects, just for your clarification. I've followed two articles from a Java forum, Thread 1 / Thread 2. It works fine in a standalone program although when I include this into my logic to read from the report I get an unusual difference in values. Why is it happening and how can I fix it? EDIT : I'm getting a greater number of days compared to the actual amount of Days. Note : Unfortunately, none of the answers helped me solve the problem. I've accomplished this problem with the help of Joda-time library. You should use Joda Time library because Java Util Date returns wrong values sometimes. Joda vs Java Util Date For example days between yesterday (dd-mm-yyyy, 12-07-2016) and first day of year in 1957 (dd-mm-yyyy, 01-01-1957): So I really advice you to use Joda Time library.",1,DateTimeFormat,DateTimeFormat,0
13,"int seconds = myPeriod.toStandardSeconds().getSeconds();
BigDecimal d = new BigDecimal((double) seconds / 3600);
// Round to two decimals
BigDecimal correctResult = d.setScale(2, RoundingMode.HALF_DOWN);
Non-terminating decimal expansion Exception
divide(MILLIS_PER_HOUR)
private static final BigDecimal MILLIS_PER_HOUR = 
BigDecimal.valueOf(DateTimeConstants.MILLIS_PER_HOUR);
DateTime t = new DateTime();
DateTime t1 = new DateTime();
DateTime dt1 = t;
DateTime dt2 = t1.plusMinutes(46); 
Duration duration = new Duration(dt1, dt2);
BigDecimal result = BigDecimal.valueOf(duration.getMillis())
.divide(MILLIS_PER_HOUR, 2, RoundingMode.CEILING) // <--- Add scale and RoundingMode.CEILING
.setScale(2);","Any way to convert a JodaTime Period to a decimal number of hours? I have a JodaTime Period that I've created from two DateTime instants. Is there a good way to convert that Period into a decimal number of hours? For instance, I have a Period that goes from 1pm to 1:30pm on Jan 1, 2010. How can I get that Period as 1.5 hours. In the past I've manually converted using seconds and BigDecimals such as this: This kind of feels like a hack, not to mention awkward when I start adding Periods together. It seems like there should be a better way. Any ideas? Thanks Using the Jon Skeet example, you have a from divide BigDecimal , for fix error alter code for this:",1,DateTimeConstants,DateTimeConstants,0
14,"DateTime
Days.daysBetween(start, end).getDays()
Days.daysBetween(start.toLocalDate(), end.toLocalDate()).getDays()
// 5am on the 20th to 1pm on the 21st, October 2013, Brazil
DateTimeZone BRAZIL = DateTimeZone.forID(""America/Sao_Paulo"");
DateTime start = new DateTime(2013, 10, 20, 5, 0, 0, BRAZIL);
DateTime end = new DateTime(2013, 10, 21, 13, 0, 0, BRAZIL);
System.out.println(daysBetween(start.withTimeAtStartOfDay(),
end.withTimeAtStartOfDay()).getDays());
// prints 0
System.out.println(daysBetween(start.toLocalDate(),
end.toLocalDate()).getDays());
// prints 1
LocalDate","Number of days between two dates in Joda-Time How do I find the difference in Days between two Joda-Time instances? With \\\\xe2\\\\x80\\\\x98difference in days\\\\xe2\\\\x80\\\\x99 I mean if start is on Monday and end is on Tuesday I expect a return value of 1 regardless of the hour/minute/seconds of the start and end dates. gives me 0 if start is in the evening and end in the morning. I'm also having the same issue with other date fields so I was hoping there would be a generic way to 'ignore' the fields of lesser significance. In other words, the months between Feb and 4 March would also be 1, as would the hours between 14:45 and 15:12 be. However the hour difference between 14:01 and 14:55 would be 0. Annoyingly, the withTimeAtStartOfDay answer is wrong, but only occasionally. You want: It turns out that ""midnight/start of day"" sometimes means 1am (daylight savings happen this way in some places), which Days.daysBetween doesn't handle properly. Going via a sidesteps the whole issue.",1,DateTime,DateTime,1
15,"ReadableInterval
getStart
getEnd
DateMidnight
Interval i = new Interval(
new DateMidnight(2010, 3, 2), new DateMidnight(2010, 3, 5));
i.contains(new DateTime(2010, 3, 1, 23, 59, 59, 999)); // == false
i.contains(new DateTime(2010, 3, 2, 0, 0, 0, 0)); // == true
i.contains(new DateTime(2010, 3, 4, 23, 59, 59, 999)); // == true
i.contains(new DateTime(2010, 3, 5, 0, 0, 0, 0)); // == false","LocalDate interval in Joda-time Joda-time has an Interval class, which is a range between DateTimes. What can be used for a range of LocalDates? I want an object that represents, for example ""from 1/1/2011 to 10/1/2011"", without the time (or timezones) ever coming into the picture. As far as I see, joda-time doesn't have anything built in for that. If there doesn't exist anything for it, and we'd create it, what should it look like? Most importantly, which interfaces from joda-time could it implement to best integrate into the other types, staying consistent with the joda-time design? Would it make sense for it to implement , where and return ? The Interval class represents an interval of time from one millisecond instant to another instant (complete with timezone). DateMidnight is such an instant. So your proposed implementation of an interval for DateMidnights is allready there. However the concept of your searched interval for LocalDates aka a Partial (without timezones) is not yet existent. If you're going to implement it for yourself, don't implement any interval interfaces at all. It would interfere with your wishes, because it is, as stated before, based on instants.",1,DateTime,DateTime,1
16,"ReadableInterval
getStart
getEnd
DateMidnight
Interval i = new Interval(
new DateMidnight(2010, 3, 2), new DateMidnight(2010, 3, 5));
i.contains(new DateTime(2010, 3, 1, 23, 59, 59, 999)); // == false
i.contains(new DateTime(2010, 3, 2, 0, 0, 0, 0)); // == true
i.contains(new DateTime(2010, 3, 4, 23, 59, 59, 999)); // == true
i.contains(new DateTime(2010, 3, 5, 0, 0, 0, 0)); // == false","LocalDate interval in Joda-time Joda-time has an Interval class, which is a range between DateTimes. What can be used for a range of LocalDates? I want an object that represents, for example ""from 1/1/2011 to 10/1/2011"", without the time (or timezones) ever coming into the picture. As far as I see, joda-time doesn't have anything built in for that. If there doesn't exist anything for it, and we'd create it, what should it look like? Most importantly, which interfaces from joda-time could it implement to best integrate into the other types, staying consistent with the joda-time design? Would it make sense for it to implement , where and return ? The Interval class represents an interval of time from one millisecond instant to another instant (complete with timezone). DateMidnight is such an instant. So your proposed implementation of an interval for DateMidnights is allready there. However the concept of your searched interval for LocalDates aka a Partial (without timezones) is not yet existent. If you're going to implement it for yourself, don't implement any interval interfaces at all. It would interfere with your wishes, because it is, as stated before, based on instants.",1,Interval,Interval,1
17,"ReadableInterval
getStart
getEnd
DateMidnight
Interval i = new Interval(
new DateMidnight(2010, 3, 2), new DateMidnight(2010, 3, 5));
i.contains(new DateTime(2010, 3, 1, 23, 59, 59, 999)); // == false
i.contains(new DateTime(2010, 3, 2, 0, 0, 0, 0)); // == true
i.contains(new DateTime(2010, 3, 4, 23, 59, 59, 999)); // == true
i.contains(new DateTime(2010, 3, 5, 0, 0, 0, 0)); // == false","LocalDate interval in Joda-time Joda-time has an Interval class, which is a range between DateTimes. What can be used for a range of LocalDates? I want an object that represents, for example ""from 1/1/2011 to 10/1/2011"", without the time (or timezones) ever coming into the picture. As far as I see, joda-time doesn't have anything built in for that. If there doesn't exist anything for it, and we'd create it, what should it look like? Most importantly, which interfaces from joda-time could it implement to best integrate into the other types, staying consistent with the joda-time design? Would it make sense for it to implement , where and return ? The Interval class represents an interval of time from one millisecond instant to another instant (complete with timezone). DateMidnight is such an instant. So your proposed implementation of an interval for DateMidnights is allready there. However the concept of your searched interval for LocalDates aka a Partial (without timezones) is not yet existent. If you're going to implement it for yourself, don't implement any interval interfaces at all. It would interfere with your wishes, because it is, as stated before, based on instants.",1,DateMidnight,DateMidnight,1
18,"Calendar c = Calendar.getInstance();
DateFormat sdf = new SimpleDateFormat(""dd/MM/yyyy"");
c.setTime( sdf.parse(""31/12/2010""));
out.println( c.get( Calendar.WEEK_OF_YEAR ) );
Locale
Calendar
public static void main(String[] args) throws ParseException {
DateFormat sdf = new SimpleDateFormat(""dd/MM/yyyy"");
Date lastDec2010 = sdf.parse(""31/12/2010"");
Calendar calUs = Calendar.getInstance(Locale.US); 
calUs.setTime(lastDec2010);
Calendar calDe = Calendar.getInstance(Locale.GERMAN); 
calDe.setTime(lastDec2010);
System.out.println( ""us: "" + calUs.get( Calendar.WEEK_OF_YEAR ) ); 
System.out.println( ""de: "" + calDe.get( Calendar.WEEK_OF_YEAR ) );
}
us: 1
de: 52","Why dec 31 2010 returns 1 as week of year? For instance: Prints 1 Same happens with Joda time. :) The definition of Week of Year is dependent. How it is defined in US is discused in the other posts. For example in Germany (DIN 1355-1 / ISO 8601): the first Week* of Year is the first week with 4 or more days in the new year. *first day of week is Monday and last day of week is Sunday And Java\\\\xe2\\\\x80\\\\x99s pays attention to the locale. For example: prints: ADDED For the US (and I can think of that it is the same for Mexico) the 1. Week of Year is the week where the 1. January belongs to. -- So if 1. Januar is a Saturday, then the Friday before (31. Dec) belongs the same week, and in this case this day belongs to the 1. Week of Year 2011.",1,year(),DateTime.year(),1
19,"Calendar c = Calendar.getInstance();
DateFormat sdf = new SimpleDateFormat(""dd/MM/yyyy"");
c.setTime( sdf.parse(""31/12/2010""));
out.println( c.get( Calendar.WEEK_OF_YEAR ) );
Locale
java.util.Calendar
java.util.Date
IsoFields
ZoneId zoneId = ZoneId.of ( ""America/Montreal"" );
ZonedDateTime now = ZonedDateTime.now ( zoneId );
int week = now.get ( IsoFields.WEEK_OF_WEEK_BASED_YEAR );
int weekYear = now.get ( IsoFields.WEEK_BASED_YEAR );","Why dec 31 2010 returns 1 as week of year? For instance: Prints 1 Same happens with Joda time. :) java.time As others noted, the definition of a week varies by in the old class. That class, and its partner , have been supplanted by the java.time framework built into Java 8 and later. The class defines a week using the ISO 8601 standard: Week always starts on a Monday, and week # 1 holds the first Thursday of the calendar-year. Get the current moment. Ask about the standard week-based year. For much more detail, see my Answer on the similar Question: java get week of year for given a date \xe2\x80\xa6and see my Answer on the similar Question: How to calculate Date from ISO8601 week number in Java",1,year(),DateTime.year(),0
20,"LocalDate now = new LocalDate();
System.out.println(now.withDayOfWeek(DateTimeConstants.MONDAY)); //prints 2011-01-17
System.out.println(now.withDayOfWeek(DateTimeConstants.SUNDAY)); //prints 2011-01-23","Get first day of a particular week in Joda-Time? java In Joda-Time, is there a way to get the date of the first day of the week(monday). for instance i want to find out what date was this weeks monday based on todays current date 21/01/11 Cheers in advance. edit: i also wish to find the date for the end of the week i.e sunday's date. cheers Try LocalDate.withDayOfWeek:",1,DateTimeConstants,DateTimeConstants,1
21,"org.joda.time
public static Date firstDayOfNextMonth() {
Calendar nowCal = Calendar.getInstance();
int month = nowCal.get(Calendar.MONTH) + 1;
int year = nowCal.get(Calendar.YEAR);
Calendar cal = Calendar.getInstance();
cal.clear();
cal.set(Calendar.YEAR, year);
cal.set(Calendar.MONTH, month);
cal.set(Calendar.DAY_OF_MONTH, 1);
Date dueDate = new Date(cal.getTimeInMillis());
return dueDate;
}
LocalDate today = new LocalDate();
LocalDate d1 = today.plusMonths(1).withDayOfMonth(1);
return new Date(d1.toDateTimeAtStartOfDay().getMillis());
java.util.Date","First day of next month with java Joda-Time How would you rewrite the method below, which returns the first day of next month, with the package in Joda-Time? A little easier and cleaner, isn't it? :-) Update: If you want to return a date: but I strongly advise you to avoid mixing pure DATE types (i.e. a day in the calendar, without time information) with DATETIME types, specially with a ""physical"" datetime type as is the hideous . It's somewhat like converting from-to integer and floating types, you must be careful.",1,DateTime,DateTime,1
